time,symbol,outcome,confidence,ema_slope,h1_dist,max_fav,direction
2025-11-27 08:15:00+00:00,USDCAD=X,BE,10.0,-0.011,-0.0026675108246148865,0.726,SELL
2025-11-27 09:15:00+00:00,NZDUSD=X,BE,10.0,0.0437,0.010648488576965591,0.87,BUY
2025-11-28 00:15:00+00:00,USDJPY=X,WIN,11.0,0.0005,0.0006139228452549433,1.283,BUY
2025-11-28 04:30:00+00:00,AUDUSD=X,BE,10.0,0.0191,0.004519776368700819,0.675,BUY
2025-11-28 08:15:00+00:00,USDCAD=X,WIN,11.5,-0.0057,-0.0015610306062292614,1.017,SELL
2025-11-28 14:30:00+00:00,USDJPY=X,BE,9.0,-0.0052,-0.0005637955219704643,0.935,SELL
2025-11-28 14:30:00+00:00,^GSPC,LOSS,9.0,,,0.636,SELL
2025-11-28 14:30:00+00:00,^IXIC,LOSS,9.0,,,0.456,SELL
2025-12-01 01:00:00+00:00,AUDUSD=X,WIN,10.0,0.02,0.005711609473349947,1.757,BUY
2025-12-01 18:30:00+00:00,AUDUSD=X,LOSS,10.0,0.0157,0.0034508355830061496,0.289,BUY
2025-12-01 18:30:00+00:00,USDCAD=X,LOSS,9.5,-0.0096,-0.0020457686266909998,0.526,SELL
2025-12-01 20:45:00+00:00,^GSPC,LOSS,9.0,,0.011351975971461438,0.188,BUY
2025-12-02 00:45:00+00:00,USDJPY=X,LOSS,9.0,-0.0091,-0.0019707331157685646,0.009,SELL
2025-12-02 01:15:00+00:00,GBPUSD=X,WIN,10.0,-0.0006,5.9450339554245976e-05,1.519,BUY
2025-12-02 06:45:00+00:00,USDJPY=X,LOSS,9.0,-0.0052,-0.0009186048627562584,0.403,SELL
2025-12-02 09:30:00+00:00,USDCAD=X,LOSS,9.5,-0.0036,-0.0004759003837350452,0.401,SELL
2025-12-02 09:45:00+00:00,AUDUSD=X,LOSS,10.0,0.0125,0.002680125639586615,0.572,BUY
2025-12-02 16:30:00+00:00,^GSPC,WIN,9.0,0.0501,0.014075308944282274,1.037,BUY
2025-12-02 22:00:00+00:00,GBPUSD=X,LOSS,10.0,0.0002,-0.00016032034651210396,0.611,SELL
2025-12-03 08:15:00+00:00,USDJPY=X,WIN,9.0,-0.005,-0.001276382958196906,1.014,SELL
2025-12-03 09:30:00+00:00,GC=F,LOSS,9.5,0.0168,0.003704388702832854,0.034,BUY
2025-12-03 14:30:00+00:00,^IXIC,LOSS,9.0,0.0672,0.015426266076893467,0.447,BUY
2025-12-03 15:15:00+00:00,USDCAD=X,BE,10.0,-0.0113,-0.003143346620244072,0.993,SELL
2025-12-04 00:30:00+00:00,GBPUSD=X,LOSS,10.0,0.0301,0.007052358824213073,0.554,BUY
2025-12-04 01:15:00+00:00,USDJPY=X,LOSS,9.0,-0.0134,-0.002834035081825979,0.041,SELL
2025-12-04 12:45:00+00:00,USDCAD=X,BE,9.5,-0.0031,-0.00068194403739102,0.856,SELL
2025-12-04 13:30:00+00:00,EURUSD=X,LOSS,10.0,0.0119,0.0026826959504171947,0.344,BUY
2025-12-04 13:30:00+00:00,GBPUSD=X,WIN,11.5,0.0241,0.005621141903296794,1.093,BUY
2025-12-05 10:30:00+00:00,USDJPY=X,LOSS,9.0,-0.0082,-0.0013102070813139513,0.266,SELL
2025-12-05 20:45:00+00:00,^GSPC,WIN,9.0,0.0502,0.012080977109321368,1.275,BUY
2025-12-08 00:00:00+00:00,AUDUSD=X,WIN,10.0,0.0253,0.0061697344643713795,1.166,BUY
2025-12-08 05:45:00+00:00,USDJPY=X,LOSS,9.0,-0.0041,-0.0005933208142975543,0.062,SELL
2025-12-08 06:45:00+00:00,NZDUSD=X,WIN,10.0,0.0175,0.0042019007185009945,1.005,BUY
2025-12-08 08:30:00+00:00,GBPUSD=X,LOSS,9.5,0.0058,0.001452614322851346,0.389,BUY
2025-12-08 11:15:00+00:00,GC=F,LOSS,9.5,0.0007,0.0007223377737597982,0.663,BUY
2025-12-08 16:00:00+00:00,USDCAD=X,LOSS,9.5,-0.0185,-0.004438708104453659,0.517,SELL
2025-12-08 16:00:00+00:00,^IXIC,LOSS,9.0,0.0647,0.015362701458902908,0.486,BUY
2025-12-08 17:15:00+00:00,^GSPC,LOSS,9.0,0.0327,0.006950775365868064,0.006,BUY
2025-12-09 01:45:00+00:00,USDJPY=X,LOSS,9.0,0.0122,0.002303873739511333,0.037,BUY
2025-12-09 03:30:00+00:00,GC=F,WIN,10.0,-0.0099,-0.001818807221050866,1.034,SELL
2025-12-09 14:30:00+00:00,^IXIC,BE,9.0,0.0564,0.013688673008177709,0.93,BUY
2025-12-09 14:45:00+00:00,NZDUSD=X,WIN,10.0,0.0122,0.0031797477350031167,1.285,BUY
2025-12-09 20:30:00+00:00,^GSPC,LOSS,9.0,0.0244,0.005658127039922221,0.319,BUY
2025-12-10 01:00:00+00:00,USDJPY=X,LOSS,9.0,0.0228,0.005554642582083398,0.255,BUY
2025-12-10 04:45:00+00:00,GBPUSD=X,LOSS,10.0,-0.0026,-0.0005064611418834841,0.271,SELL
2025-12-10 14:30:00+00:00,^GSPC,LOSS,9.0,0.023,0.0057010760204132295,0.376,BUY
2025-12-10 15:45:00+00:00,^IXIC,LOSS,9.0,0.0445,0.011104103800749436,0.032,BUY
2025-12-10 17:45:00+00:00,USDJPY=X,WIN,10.5,0.0071,0.0016317607483644061,1.235,BUY
2025-12-10 19:00:00+00:00,GC=F,BE,9.5,0.0027,0.0034401503730107858,1.258,BUY
2025-12-11 03:30:00+00:00,NZDUSD=X,LOSS,10.0,0.0152,0.0032561969639509176,0.367,BUY
2025-12-11 04:45:00+00:00,GBPUSD=X,LOSS,10.0,0.013,0.003203768305318101,0.596,BUY
2025-12-11 06:00:00+00:00,USDJPY=X,LOSS,9.0,-0.0002,-0.0003425195062996323,0.181,SELL
2025-12-11 15:00:00+00:00,^IXIC,WIN,11.0,0.0452,0.007596297093351045,1.237,BUY
2025-12-12 00:15:00+00:00,USDJPY=X,LOSS,9.0,-0.0069,-0.0011586912204157264,0.125,SELL
2025-12-12 04:15:00+00:00,USDCAD=X,WIN,10.0,-0.0156,-0.0037885153019847004,1.149,SELL
2025-12-12 06:30:00+00:00,USDJPY=X,BE,9.0,-0.0041,-0.0012890814561905552,0.712,SELL
2025-12-12 09:00:00+00:00,GBPUSD=X,LOSS,11.5,0.0082,0.002059926633608751,0.077,BUY
2025-12-12 16:15:00+00:00,USDCAD=X,LOSS,9.5,-0.0095,-0.0021875618903382924,0.633,SELL
2025-12-15 00:30:00+00:00,EURUSD=X,LOSS,10.0,0.0136,0.0030510891884416975,0.233,BUY
2025-12-15 00:30:00+00:00,NZDUSD=X,LOSS,10.0,0.0056,0.0012177358022566376,0.0,BUY
2025-12-15 14:30:00+00:00,^GSPC,WIN,11.0,-0.002,-0.0020153582041783405,1.294,SELL
2025-12-15 14:30:00+00:00,^IXIC,WIN,11.0,-0.0348,-0.011870254056738415,1.159,SELL
2025-12-15 17:30:00+00:00,USDCAD=X,LOSS,9.5,-0.0076,-0.0015494808060758831,0.244,SELL
2025-12-16 07:00:00+00:00,NZDUSD=X,LOSS,10.0,-0.0044,-0.0010964231289934,0.597,SELL
2025-12-16 08:15:00+00:00,AUDUSD=X,WIN,9.5,-0.004,-0.0007103339482529852,1.07,SELL
2025-12-16 14:15:00+00:00,USDJPY=X,LOSS,9.0,-0.0195,-0.005160209452179053,0.541,SELL
2025-12-16 20:45:00+00:00,^IXIC,WIN,11.0,-0.0265,-0.006409707371266726,1.098,SELL
2025-12-17 03:00:00+00:00,USDJPY=X,BE,11.0,-0.008,-0.0023575553784818764,0.862,SELL
2025-12-17 08:00:00+00:00,USDCAD=X,WIN,9.5,-0.0003,-0.00027686909109149384,1.134,SELL
2025-12-17 13:00:00+00:00,AUDUSD=X,WIN,10.0,-0.0091,-0.002330084802497114,1.07,SELL
2025-12-17 15:30:00+00:00,NZDUSD=X,WIN,11.5,-0.0015,-0.0006889031422593704,1.625,SELL
2025-12-18 00:00:00+00:00,USDJPY=X,BE,9.0,0.0039,0.0008850338147433173,0.681,BUY
2025-12-18 09:45:00+00:00,GC=F,BE,9.5,0.0178,0.0039592460734587265,0.949,BUY
2025-12-18 11:30:00+00:00,USDJPY=X,LOSS,9.0,0.0101,0.002263823185015512,0.046,BUY
2025-12-18 13:00:00+00:00,USDCAD=X,WIN,9.5,0.0012,-0.00027996308074742203,1.035,SELL
2025-12-18 16:00:00+00:00,^IXIC,WIN,9.0,-0.0194,-0.00397152486866936,1.212,SELL
2025-12-18 16:30:00+00:00,^GSPC,WIN,9.0,-0.0113,-0.005689510955961623,1.261,SELL
2025-12-18 21:45:00+00:00,USDCAD=X,BE,10.0,-0.0008,-0.00044118215266137256,0.954,SELL
2025-12-18 22:15:00+00:00,USDJPY=X,WIN,11.0,0.0019,0.0005208816519250973,1.159,BUY
2025-12-19 01:15:00+00:00,NZDUSD=X,WIN,10.0,-0.0011,-0.0009851325973105106,1.115,SELL
2025-12-19 20:00:00+00:00,GBPUSD=X,WIN,9.5,0.0016,-0.00020792343348281732,1.501,SELL
2025-12-22 01:00:00+00:00,USDJPY=X,LOSS,9.0,0.0349,0.007722873460901793,0.186,BUY
2025-12-23 14:30:00+00:00,GC=F,LOSS,9.5,0.0666,0.012578063236841797,0.233,BUY
2025-12-23 14:30:00+00:00,^IXIC,WIN,11.0,0.0349,0.008450364440216539,1.546,BUY
2025-12-23 15:00:00+00:00,GBPUSD=X,WIN,10.0,0.0179,0.004436630567489861,1.029,BUY
2025-12-23 15:45:00+00:00,EURUSD=X,BE,10.0,0.0091,0.002533773357809144,0.726,BUY
2025-12-24 11:30:00+00:00,USDJPY=X,LOSS,9.0,-0.0085,-0.0020935435807551118,0.651,SELL
2025-12-24 13:30:00+00:00,NZDUSD=X,LOSS,11.5,0.0204,0.005106345290578661,0.089,BUY
2025-12-24 14:00:00+00:00,EURUSD=X,LOSS,9.5,0.0073,0.0015470919319899809,0.221,BUY
2025-12-25 06:45:00+00:00,USDJPY=X,LOSS,9.0,-0.008,-0.001817415667779997,0.568,SELL
2025-12-26 05:15:00+00:00,AUDUSD=X,WIN,10.0,0.0138,0.003642232251272646,1.027,BUY
