timestamp,symbol,direction,entry,sl,tp,sl_distance_pips,peak_profit_pips,peak_profit_r,bars_to_peak,confidence
2026-01-20 08:35:00+00:00,GBPUSD=X,BUY,1.3483631610870361,1.347335532496675,1.3492195182456703,10.27628590361207,4.546642303466797,0.4424402304599828,14,1.2223
2026-01-20 08:40:00+00:00,GBPUSD=X,BUY,1.3481448888778687,1.34713220550006,1.348988791692709,10.126833778085764,6.729364395141602,0.6645082305689456,18,1.1043
2026-01-20 19:55:00+00:00,GBPUSD=X,SELL,1.3428045511245728,1.3433408594446257,1.3423576275245286,5.36308320052914,1.9824504852294922,0.36964753502871206,3,1.3861
2026-01-20 20:00:00+00:00,GBPUSD=X,SELL,1.3426424264907837,1.343161271669463,1.342210055508551,5.188451786792836,0.3612041473388672,0.06961694204392717,1,1.4047
2026-01-20 20:05:00+00:00,GBPUSD=X,SELL,1.3431291580200195,1.3436781666501607,1.3426716508282353,5.4900863014117895,3.606081008911133,0.6568350315338066,12,1.118
2026-01-20 20:10:00+00:00,GBPUSD=X,SELL,1.3428767919540405,1.3434491961038906,1.342399788495832,5.724041498500476,1.0824203491210938,0.18910071658366817,4,1.1746
2026-01-21 10:20:00+00:00,GBPUSD=X,SELL,1.3408241271972656,1.3414901295990767,1.3402691251957564,6.660024018110278,5.570650100708008,0.8364309326152596,14,1.7023
2026-01-21 10:30:00+00:00,GBPUSD=X,SELL,1.3407881259918213,1.341446241061188,1.3402396967673489,6.581150693667492,5.210638046264648,0.7917518210422416,11,1.5534
2026-01-21 10:35:00+00:00,GBPUSD=X,SELL,1.3408061265945435,1.341447289512545,1.3402718241628753,6.411629180016476,5.390644073486328,0.8407604248679391,10,1.4695
2026-01-21 10:45:00+00:00,GBPUSD=X,SELL,1.3406083583831787,1.3412581164500967,1.3400668933274138,6.4975806691802696,3.412961959838867,0.5252665774551198,8,1.4134
2026-01-21 10:50:00+00:00,GBPUSD=X,SELL,1.3405544757843018,1.3411670646866456,1.3400439850323487,6.125889023438358,2.874135971069336,0.4691785894378041,7,1.3683
