Symbol,Day,Hour,AvgRet%,WinRate,T-stat,P-val,N
GBPJPY,Tue,22,0.01363949478247615,0.5753424657534246,2.536181667583813,0.01226572969747811,146
AUDUSD,Tue,18,0.01568699461931906,0.541095890410959,2.1925442926901293,0.029934579445815568,146
GOLD,Tue,3,0.0295726194071708,0.5398230088495575,2.182042208470069,0.031195262654400382,113
EURUSD,Tue,20,0.010825699072717385,0.5068493150684932,2.250713195358227,0.02590813015869115,146
OIL,Tue,12,-0.07401353870155744,0.46774193548387094,-2.1800203036107315,0.031160167076895146,124
GBPUSD,Tue,11,-0.018178642842246916,0.4315068493150685,-2.3962653798486127,0.017838034669645335,146
OIL,Tue,5,-0.04060488613939256,0.41025641025641024,-2.0786617265158194,0.03985338069254319,117
GBPUSD,Tue,5,-0.013701929872935305,0.4041095890410959,-3.2173633874939562,0.0015959519690571964,146
BTC,Tue,7,-0.10266457153441416,0.40384615384615385,-2.4864034213005475,0.014511373770231975,104
AUDUSD,Tue,0,-0.0228811380535807,0.4,-2.182850236795437,0.0306672076300987,145
OIL,Tue,0,-0.04718997124521665,0.39814814814814814,-2.182906316990031,0.03122825461417447,108
AUDUSD,Tue,5,-0.03300467682855618,0.3972602739726027,-3.5810619632743004,0.00046618621492047595,146
EURUSD,Tue,15,-0.01822760206114323,0.3904109589041096,-2.038678340261215,0.04329911998842923,146
AUDUSD,Tue,10,-0.015684115712817394,0.3904109589041096,-2.218365218110256,0.02808462474153025,146
EURUSD,Tue,11,-0.01647392375154077,0.3835616438356164,-2.321263650879983,0.02166604001564528,146
USDJPY,Tue,20,-0.011370225650174539,0.3835616438356164,-2.0355004888836166,0.04362178246928559,146
GBPJPY,Wed,19,0.02059613664893518,0.6458333333333334,2.3965288677656553,0.017843766525903023,144
GBPJPY,Wed,9,0.019528541676486696,0.6041666666666666,2.002237313384517,0.0471502227364522,144
GBPJPY,Wed,15,0.025675166620577224,0.5972222222222222,2.3732345341174024,0.01896288102375023,144
USDJPY,Wed,2,0.016968593599216247,0.593103448275862,1.9957449497194926,0.04784786290499601,145
GOLD,Wed,7,0.05759328948634792,0.5537190082644629,2.2904881384633855,0.02373881050352175,121
GOLD,Wed,1,0.0540300146781261,0.5365853658536586,2.55471701031449,0.011857181967433152,123
OIL,Wed,14,-0.13450191161788394,0.43902439024390244,-2.190899590866803,0.030359388411364086,123
OIL,Wed,23,-0.041685094510004655,0.4051724137931034,-2.532518720067067,0.012672722143303778,116
OIL,Wed,0,-0.046205523997626216,0.38596491228070173,-2.5958149969176203,0.010689363577089404,114
AUDUSD,Wed,0,-0.03229061879579799,0.363013698630137,-2.903933984647319,0.004262073266080728,146
USDJPY,Wed,22,-0.017072804978688363,0.3263888888888889,-2.1028151802869606,0.03723387650768502,144
GBPJPY,Wed,21,-0.03602094543836572,0.23448275862068965,-6.513308608047601,1.1481062659146563e-09,145
USDJPY,Wed,21,-0.0388754242980461,0.18620689655172415,-7.878234873886562,7.404293819689241e-13,145
